flat_id,timestamp,units_kWh,is_anomaly
A149,2024-05-31 19:30:00,1.003,false
A150,2024-05-31 19:30:00,0.756,false
A101,2024-05-31 20:30:00,0.458,false
A102,2024-05-31 20:30:00,0.581,false
A103,2024-05-31 20:30:00,0.391,false
A104,2024-05-31 20:30:00,0.869,false
A105,2024-05-31 20:30:00,0.883,false
A106,2024-05-31 20:30:00,0.946,false
A107,2024-05-31 20:30:00,1.065,false
A108,2024-05-31 20:30:00,0.758,false
A109,2024-05-31 20:30:00,0.876,false
A110,2024-05-31 20:30:00,0.489,false
A111,2024-05-31 20:30:00,0.782,false
A112,2024-05-31 20:30:00,0.678,false
A113,2024-05-31 20:30:00,0.471,false
A114,2024-05-31 20:30:00,0.637,false
A115,2024-05-31 20:30:00,0.419,false
A116,2024-05-31 20:30:00,0.2,false
A117,2024-05-31 20:30:00,0.426,false
A118,2024-05-31 20:30:00,0.481,false
A119,2024-05-31 20:30:00,0.357,false
A120,2024-05-31 20:30:00,0.593,false
A121,2024-05-31 20:30:00,0.341,false
A122,2024-05-31 20:30:00,0.792,false
A123,2024-05-31 20:30:00,0.845,false
A124,2024-05-31 20:30:00,0.501,false
A125,2024-05-31 20:30:00,0.639,false
A126,2024-05-31 20:30:00,0.748,false
A127,2024-05-31 20:30:00,0.698,false
A128,2024-05-31 20:30:00,13.939,true
A129,2024-05-31 20:30:00,0.755,false
A130,2024-05-31 20:30:00,1.074,false
A131,2024-05-31 20:30:00,0.924,false
A132,2024-05-31 20:30:00,0.374,false
A133,2024-05-31 20:30:00,0.967,false
A134,2024-05-31 20:30:00,0.561,false
A135,2024-05-31 20:30:00,13.571,true
A136,2024-05-31 20:30:00,0.99,false
A137,2024-05-31 20:30:00,0.687,false
A138,2024-05-31 20:30:00,0.371,false
A139,2024-05-31 20:30:00,0.949,false
A140,2024-05-31 20:30:00,0.298,false
A141,2024-05-31 20:30:00,0.874,false
A142,2024-05-31 20:30:00,11.382,true
A143,2024-05-31 20:30:00,0.553,false
A144,2024-05-31 20:30:00,0.583,false
A145,2024-05-31 20:30:00,0.887,false
A146,2024-05-31 20:30:00,0.462,false
A147,2024-05-31 20:30:00,12.02,true
A148,2024-05-31 20:30:00,0.769,false
A149,2024-05-31 20:30:00,0.57,false
A150,2024-05-31 20:30:00,0.211,false
A101,2024-05-31 21:30:00,0.749,false
A102,2024-05-31 21:30:00,0.897,false
A103,2024-05-31 21:30:00,0.516,false
A104,2024-05-31 21:30:00,0.299,false
A105,2024-05-31 21:30:00,0.601,false
A106,2024-05-31 21:30:00,0.713,false
A107,2024-05-31 21:30:00,0.414,false
A108,2024-05-31 21:30:00,0.484,false
A109,2024-05-31 21:30:00,0.516,false
A110,2024-05-31 21:30:00,0.648,false
A111,2024-05-31 21:30:00,0.803,false
A112,2024-05-31 21:30:00,0.528,false
A113,2024-05-31 21:30:00,0.613,false
A114,2024-05-31 21:30:00,1.006,false
A115,2024-05-31 21:30:00,0.95,false
A116,2024-05-31 21:30:00,1.006,false
A117,2024-05-31 21:30:00,0.78,false
A118,2024-05-31 21:30:00,0.259,false
A119,2024-05-31 21:30:00,0.376,false
A120,2024-05-31 21:30:00,0.73,false
A121,2024-05-31 21:30:00,0.677,false
A122,2024-05-31 21:30:00,0.649,false
A123,2024-05-31 21:30:00,0.735,false
A124,2024-05-31 21:30:00,0.601,false
A125,2024-05-31 21:30:00,0.848,false
A126,2024-05-31 21:30:00,0.785,false
A127,2024-05-31 21:30:00,0.722,false
A128,2024-05-31 21:30:00,0.823,false
A129,2024-05-31 21:30:00,0.715,false
A130,2024-05-31 21:30:00,11.901,true
A131,2024-05-31 21:30:00,0.612,false
A132,2024-05-31 21:30:00,0.728,false
A133,2024-05-31 21:30:00,0.465,false
A134,2024-05-31 21:30:00,0.782,false
A135,2024-05-31 21:30:00,0.808,false
A136,2024-05-31 21:30:00,0.407,false
A137,2024-05-31 21:30:00,0.461,false
A138,2024-05-31 21:30:00,0.742,false
A139,2024-05-31 21:30:00,0.955,false
A140,2024-05-31 21:30:00,0.535,false
A141,2024-05-31 21:30:00,0.851,false
A142,2024-05-31 21:30:00,12.485,true
A143,2024-05-31 21:30:00,0.705,false
A144,2024-05-31 21:30:00,13.934,true
A145,2024-05-31 21:30:00,0.993,false
A146,2024-05-31 21:30:00,0.529,false
A147,2024-05-31 21:30:00,0.353,false
A148,2024-05-31 21:30:00,0.91,false
A149,2024-05-31 21:30:00,0.706,false
A150,2024-05-31 21:30:00,0.703,false
A101,2024-05-31 22:30:00,0.576,false
A102,2024-05-31 22:30:00,0.72,false
A103,2024-05-31 22:30:00,0.607,false
A104,2024-05-31 22:30:00,0.917,false
A105,2024-05-31 22:30:00,0.515,false
A106,2024-05-31 22:30:00,0.53,false
A107,2024-05-31 22:30:00,0.785,false
A108,2024-05-31 22:30:00,0.771,false
A109,2024-05-31 22:30:00,0.825,false
A110,2024-05-31 22:30:00,1.038,false
A111,2024-05-31 22:30:00,0.539,false
A112,2024-05-31 22:30:00,0.777,false
A113,2024-05-31 22:30:00,0.516,false
A114,2024-05-31 22:30:00,0.406,false
A115,2024-05-31 22:30:00,0.564,false
A116,2024-05-31 22:30:00,0.714,false
A117,2024-05-31 22:30:00,0.857,false
A118,2024-05-31 22:30:00,0.837,false
A119,2024-05-31 22:30:00,0.678,false
A120,2024-05-31 22:30:00,0.612,false
A121,2024-05-31 22:30:00,0.902,false
A122,2024-05-31 22:30:00,0.508,false
A123,2024-05-31 22:30:00,0.534,false
A124,2024-05-31 22:30:00,0.476,false
A125,2024-05-31 22:30:00,0.842,false
A126,2024-05-31 22:30:00,0.679,false
A127,2024-05-31 22:30:00,0.454,false
A128,2024-05-31 22:30:00,0.683,false
A129,2024-05-31 22:30:00,14.03,true
A130,2024-05-31 22:30:00,0.697,false
A131,2024-05-31 22:30:00,0.906,false
A132,2024-05-31 22:30:00,0.721,false
A133,2024-05-31 22:30:00,0.595,false
A134,2024-05-31 22:30:00,0.797,false
A135,2024-05-31 22:30:00,0.27,false
A136,2024-05-31 22:30:00,0.502,false
A137,2024-05-31 22:30:00,0.706,false
A138,2024-05-31 22:30:00,0.47,false
A139,2024-05-31 22:30:00,0.659,false
A140,2024-05-31 22:30:00,1.043,false
A141,2024-05-31 22:30:00,0.571,false
A142,2024-05-31 22:30:00,0.793,false
A143,2024-05-31 22:30:00,0.549,false
A144,2024-05-31 22:30:00,0.776,false
A145,2024-05-31 22:30:00,0.52,false
A146,2024-05-31 22:30:00,0.465,false
A147,2024-05-31 22:30:00,0.788,false
A148,2024-05-31 22:30:00,0.829,false
A149,2024-05-31 22:30:00,0.497,false
A150,2024-05-31 22:30:00,0.411,false
A101,2024-05-31 23:30:00,0.651,false
A102,2024-05-31 23:30:00,0.896,false
A103,2024-05-31 23:30:00,0.208,false
A104,2024-05-31 23:30:00,0.811,false
A105,2024-05-31 23:30:00,0.719,false
A106,2024-05-31 23:30:00,0.97,false
A107,2024-05-31 23:30:00,1.041,false
A108,2024-05-31 23:30:00,0.496,false
A109,2024-05-31 23:30:00,0.675,false
A110,2024-05-31 23:30:00,0.44,false
A111,2024-05-31 23:30:00,0.612,false
A112,2024-05-31 23:30:00,0.831,false
A113,2024-05-31 23:30:00,0.581,false
A114,2024-05-31 23:30:00,0.416,false
A115,2024-05-31 23:30:00,0.403,false
A116,2024-05-31 23:30:00,0.509,false
A117,2024-05-31 23:30:00,0.803,false
A118,2024-05-31 23:30:00,0.881,false
A119,2024-05-31 23:30:00,0.89,false
A120,2024-05-31 23:30:00,0.609,false
A121,2024-05-31 23:30:00,0.701,false
A122,2024-05-31 23:30:00,0.965,false
A123,2024-05-31 23:30:00,0.463,false
A124,2024-05-31 23:30:00,0.551,false
A125,2024-05-31 23:30:00,13.825,true
A126,2024-05-31 23:30:00,0.709,false
A127,2024-05-31 23:30:00,11.249,true
A128,2024-05-31 23:30:00,0.666,false
A129,2024-05-31 23:30:00,0.339,false
A130,2024-05-31 23:30:00,0.654,false
A131,2024-05-31 23:30:00,0.628,false
A132,2024-05-31 23:30:00,0.769,false
A133,2024-05-31 23:30:00,0.417,false
A134,2024-05-31 23:30:00,0.645,false
A135,2024-05-31 23:30:00,0.819,false
A136,2024-05-31 23:30:00,1.029,false
A137,2024-05-31 23:30:00,0.383,false
A138,2024-05-31 23:30:00,0.83,false
A139,2024-05-31 23:30:00,0.928,false
A140,2024-05-31 23:30:00,0.422,false
A141,2024-05-31 23:30:00,0.81,false
A142,2024-05-31 23:30:00,0.618,false
A143,2024-05-31 23:30:00,14.185,true
A144,2024-05-31 23:30:00,0.706,false
A145,2024-05-31 23:30:00,0.382,false
A146,2024-05-31 23:30:00,0.551,false
A147,2024-05-31 23:30:00,0.399,false
A148,2024-05-31 23:30:00,0.714,false
A149,2024-05-31 23:30:00,0.421,false
A150,2024-05-31 23:30:00,14.278,true
A101,2024-06-01 00:30:00,1.579,false
A102,2024-06-01 00:30:00,2.839,false
A103,2024-06-01 00:30:00,2.661,false
A104,2024-06-01 00:30:00,2.625,false
A105,2024-06-01 00:30:00,1.544,false
A106,2024-06-01 00:30:00,3.07,false
A107,2024-06-01 00:30:00,2.883,false
A108,2024-06-01 00:30:00,2.336,false
A109,2024-06-01 00:30:00,1.555,false
A110,2024-06-01 00:30:00,10.42,true
A111,2024-06-01 00:30:00,2.16,false
A112,2024-06-01 00:30:00,2.148,false
A113,2024-06-01 00:30:00,2.929,false
A114,2024-06-01 00:30:00,1.533,false
A115,2024-06-01 00:30:00,1.77,false
A116,2024-06-01 00:30:00,2.328,false
A117,2024-06-01 00:30:00,2.924,false
A118,2024-06-01 00:30:00,1.513,false
A119,2024-06-01 00:30:00,2.005,false
A120,2024-06-01 00:30:00,2.932,false
A121,2024-06-01 00:30:00,2.93,false
A122,2024-06-01 00:30:00,13.516,true
A123,2024-06-01 00:30:00,1.818,false
A124,2024-06-01 00:30:00,12.847,true
A125,2024-06-01 00:30:00,2.687,false
A126,2024-06-01 00:30:00,2.421,false
A127,2024-06-01 00:30:00,2.874,false
A128,2024-06-01 00:30:00,2.457,false
A129,2024-06-01 00:30:00,2.73,false
A130,2024-06-01 00:30:00,2.789,false
A131,2024-06-01 00:30:00,2.524,false
A132,2024-06-01 00:30:00,2.51,false
A133,2024-06-01 00:30:00,2.608,false
A134,2024-06-01 00:30:00,1.694,false
A135,2024-06-01 00:30:00,2.018,false
A136,2024-06-01 00:30:00,2.091,false
A137,2024-06-01 00:30:00,2.472,false
A138,2024-06-01 00:30:00,2.19,false
A139,2024-06-01 00:30:00,2.151,false
A140,2024-06-01 00:30:00,2.635,false
A141,2024-06-01 00:30:00,2.696,false
A142,2024-06-01 00:30:00,2.236,false
A143,2024-06-01 00:30:00,10.583,true
A144,2024-06-01 00:30:00,1.779,false
A145,2024-06-01 00:30:00,2.403,false
A146,2024-06-01 00:30:00,10.479,true
A147,2024-06-01 00:30:00,1.669,false
A148,2024-06-01 00:30:00,2.217,false
A149,2024-06-01 00:30:00,3.004,false
A150,2024-06-01 00:30:00,2.181,false
A101,2024-06-01 01:30:00,2.931,false
A102,2024-06-01 01:30:00,1.845,false
A103,2024-06-01 01:30:00,1.776,false
A104,2024-06-01 01:30:00,2.074,false
A105,2024-06-01 01:30:00,2.238,false
A106,2024-06-01 01:30:00,2.088,false
A107,2024-06-01 01:30:00,2.109,false
A108,2024-06-01 01:30:00,2.414,false
A109,2024-06-01 01:30:00,2.425,false
A110,2024-06-01 01:30:00,1.57,false
A111,2024-06-01 01:30:00,2.193,false
A112,2024-06-01 01:30:00,1.752,false
A113,2024-06-01 01:30:00,2.477,false
A114,2024-06-01 01:30:00,2.854,false
A115,2024-06-01 01:30:00,2.243,false
A116,2024-06-01 01:30:00,1.48,false
A117,2024-06-01 01:30:00,1.819,false
A118,2024-06-01 01:30:00,2.057,false
A119,2024-06-01 01:30:00,1.835,false
A120,2024-06-01 01:30:00,1.677,false
A121,2024-06-01 01:30:00,1.531,false
A122,2024-06-01 01:30:00,2.45,false
A123,2024-06-01 01:30:00,1.636,false
A124,2024-06-01 01:30:00,2.892,false
A125,2024-06-01 01:30:00,2.497,false
A126,2024-06-01 01:30:00,1.462,false
A127,2024-06-01 01:30:00,2.628,false
A128,2024-06-01 01:30:00,1.605,false
A129,2024-06-01 01:30:00,2.699,false
A130,2024-06-01 01:30:00,1.512,false
A131,2024-06-01 01:30:00,14.754,true
A132,2024-06-01 01:30:00,2.159,false
A133,2024-06-01 01:30:00,2.516,false
A134,2024-06-01 01:30:00,2.059,false
A135,2024-06-01 01:30:00,2.06,false
A136,2024-06-01 01:30:00,2.112,false
A137,2024-06-01 01:30:00,3.051,false
A138,2024-06-01 01:30:00,2.214,false
A139,2024-06-01 01:30:00,1.918,false
A140,2024-06-01 01:30:00,2.694,false
A141,2024-06-01 01:30:00,1.555,false
A142,2024-06-01 01:30:00,1.677,false
A143,2024-06-01 01:30:00,2.477,false
A144,2024-06-01 01:30:00,2.018,false
A145,2024-06-01 01:30:00,2.361,false
A146,2024-06-01 01:30:00,2.866,false
A147,2024-06-01 01:30:00,2.048,false
A148,2024-06-01 01:30:00,2.367,false
A149,2024-06-01 01:30:00,1.889,false
A150,2024-06-01 01:30:00,2.072,false
A101,2024-06-01 02:30:00,1.64,false
A102,2024-06-01 02:30:00,2.285,false
A103,2024-06-01 02:30:00,2.897,false
A104,2024-06-01 02:30:00,2.342,false
A105,2024-06-01 02:30:00,10.699,true
A106,2024-06-01 02:30:00,1.673,false
A107,2024-06-01 02:30:00,2.092,false
A108,2024-06-01 02:30:00,1.421,false
A109,2024-06-01 02:30:00,12.549,true
A110,2024-06-01 02:30:00,2.08,false
A111,2024-06-01 02:30:00,12.985,true
A112,2024-06-01 02:30:00,2.881,false
A113,2024-06-01 02:30:00,2.208,false
A114,2024-06-01 02:30:00,1.664,false
A115,2024-06-01 02:30:00,1.838,false
A116,2024-06-01 02:30:00,11.26,true
A117,2024-06-01 02:30:00,2.081,false
A118,2024-06-01 02:30:00,2.43,false
A119,2024-06-01 02:30:00,2.586,false
A120,2024-06-01 02:30:00,2.47,false
A121,2024-06-01 02:30:00,1.702,false
A122,2024-06-01 02:30:00,2.076,false
A123,2024-06-01 02:30:00,1.579,false
A124,2024-06-01 02:30:00,1.757,false
A125,2024-06-01 02:30:00,2.241,false
A126,2024-06-01 02:30:00,2.652,false
A127,2024-06-01 02:30:00,2.593,false
A128,2024-06-01 02:30:00,2.206,false
A129,2024-06-01 02:30:00,1.797,false
A130,2024-06-01 02:30:00,13.844,true
A131,2024-06-01 02:30:00,2.013,false
A132,2024-06-01 02:30:00,2.083,false
A133,2024-06-01 02:30:00,2.148,false
A134,2024-06-01 02:30:00,2.341,false
A135,2024-06-01 02:30:00,1.798,false
A136,2024-06-01 02:30:00,1.629,false
A137,2024-06-01 02:30:00,2.727,false
A138,2024-06-01 02:30:00,13.492,true
A139,2024-06-01 02:30:00,2.78,false
A140,2024-06-01 02:30:00,1.968,false
A141,2024-06-01 02:30:00,2.069,false
A142,2024-06-01 02:30:00,2.57,false
A143,2024-06-01 02:30:00,2.403,false
A144,2024-06-01 02:30:00,3.021,false
A145,2024-06-01 02:30:00,2.701,false
A146,2024-06-01 02:30:00,2.267,false
A147,2024-06-01 02:30:00,2.486,false
A148,2024-06-01 02:30:00,1.738,false
A149,2024-06-01 02:30:00,2.919,false
A150,2024-06-01 02:30:00,2.061,false
A101,2024-06-01 03:30:00,2.873,false
A102,2024-06-01 03:30:00,1.39,false
A103,2024-06-01 03:30:00,1.714,false
A104,2024-06-01 03:30:00,1.995,false
A105,2024-06-01 03:30:00,1.954,false
A106,2024-06-01 03:30:00,2.649,false
A107,2024-06-01 03:30:00,1.645,false
A108,2024-06-01 03:30:00,11.751,true
A109,2024-06-01 03:30:00,2.486,false
A110,2024-06-01 03:30:00,2.741,false
A111,2024-06-01 03:30:00,2.478,false
A112,2024-06-01 03:30:00,1.906,false
A113,2024-06-01 03:30:00,2.955,false
A114,2024-06-01 03:30:00,3.056,false
A115,2024-06-01 03:30:00,2.966,false
A116,2024-06-01 03:30:00,1.886,false
A117,2024-06-01 03:30:00,1.672,false
A118,2024-06-01 03:30:00,2.809,false
A119,2024-06-01 03:30:00,1.697,false
A120,2024-06-01 03:30:00,1.593,false
A121,2024-06-01 03:30:00,3.071,false
A122,2024-06-01 03:30:00,1.467,false
A123,2024-06-01 03:30:00,2.505,false
A124,2024-06-01 03:30:00,1.699,false
A125,2024-06-01 03:30:00,1.823,false
A126,2024-06-01 03:30:00,2.082,false
A127,2024-06-01 03:30:00,2.4,false
A128,2024-06-01 03:30:00,2.502,false
A129,2024-06-01 03:30:00,11.006,true
A130,2024-06-01 03:30:00,1.692,false
A131,2024-06-01 03:30:00,2.758,false
A132,2024-06-01 03:30:00,1.777,false
A133,2024-06-01 03:30:00,2.467,false
A134,2024-06-01 03:30:00,1.553,false
A135,2024-06-01 03:30:00,2.823,false
A136,2024-06-01 03:30:00,2.271,false
A137,2024-06-01 03:30:00,3.034,false
A138,2024-06-01 03:30:00,1.55,false
A139,2024-06-01 03:30:00,2.856,false
A140,2024-06-01 03:30:00,2.811,false
A141,2024-06-01 03:30:00,2.671,false
A142,2024-06-01 03:30:00,1.634,false
A143,2024-06-01 03:30:00,2.459,false
A144,2024-06-01 03:30:00,2.719,false
A145,2024-06-01 03:30:00,2.595,false
A146,2024-06-01 03:30:00,2.196,false
A147,2024-06-01 03:30:00,1.869,false
A148,2024-06-01 03:30:00,1.884,false
A149,2024-06-01 03:30:00,2.468,false
A150,2024-06-01 03:30:00,1.99,false
A101,2024-06-01 04:30:00,2.26,false
A102,2024-06-01 04:30:00,1.388,false
A103,2024-06-01 04:30:00,2.517,false
A104,2024-06-01 04:30:00,11.887,true
A105,2024-06-01 04:30:00,1.417,false
A106,2024-06-01 04:30:00,1.699,false
A107,2024-06-01 04:30:00,2.133,false
A108,2024-06-01 04:30:00,2.265,false
A109,2024-06-01 04:30:00,2.306,false
A110,2024-06-01 04:30:00,2.229,false
A111,2024-06-01 04:30:00,1.664,false
A112,2024-06-01 04:30:00,1.361,false
A113,2024-06-01 04:30:00,2.162,false
A114,2024-06-01 04:30:00,2.262,false
A115,2024-06-01 04:30:00,1.288,false
A116,2024-06-01 04:30:00,1.079,false
A117,2024-06-01 04:30:00,2.317,false
A118,2024-06-01 04:30:00,2.386,false
A119,2024-06-01 04:30:00,1.927,false
A120,2024-06-01 04:30:00,2.322,false
A121,2024-06-01 04:30:00,1.323,false
A122,2024-06-01 04:30:00,1.108,false
A123,2024-06-01 04:30:00,1.657,false
A124,2024-06-01 04:30:00,1.496,false
A125,2024-06-01 04:30:00,2.393,false
A126,2024-06-01 04:30:00,1.688,false
A127,2024-06-01 04:30:00,11.798,true
A128,2024-06-01 04:30:00,1.643,false
A129,2024-06-01 04:30:00,2.295,false
A130,2024-06-01 04:30:00,2.232,false
A131,2024-06-01 04:30:00,1.064,false
A132,2024-06-01 04:30:00,1.831,false
A133,2024-06-01 04:30:00,1.311,false
A134,2024-06-01 04:30:00,1.483,false
A135,2024-06-01 04:30:00,1.473,false
A136,2024-06-01 04:30:00,2.602,false
A137,2024-06-01 04:30:00,1.54,false
A138,2024-06-01 04:30:00,1.372,false
A139,2024-06-01 04:30:00,1.756,false
A140,2024-06-01 04:30:00,1.49,false
A141,2024-06-01 04:30:00,1.241,false
A142,2024-06-01 04:30:00,1.779,false
A143,2024-06-01 04:30:00,2.177,false
A144,2024-06-01 04:30:00,1.636,false
A145,2024-06-01 04:30:00,1.276,false
A146,2024-06-01 04:30:00,2.35,false
A147,2024-06-01 04:30:00,2.278,false
A148,2024-06-01 04:30:00,1.219,false
A149,2024-06-01 04:30:00,1.985,false
A150,2024-06-01 04:30:00,0.994,false
A101,2024-06-01 05:30:00,2.122,false
A102,2024-06-01 05:30:00,10.819,true
A103,2024-06-01 05:30:00,1.345,false
A104,2024-06-01 05:30:00,2.446,false
A105,2024-06-01 05:30:00,1.695,false
A106,2024-06-01 05:30:00,14.03,true
A107,2024-06-01 05:30:00,1.782,false
A108,2024-06-01 05:30:00,1.421,false
A109,2024-06-01 05:30:00,2.051,false
A110,2024-06-01 05:30:00,2.1,false
A111,2024-06-01 05:30:00,1.291,false
A112,2024-06-01 05:30:00,2.251,false
A113,2024-06-01 05:30:00,2.354,false
A114,2024-06-01 05:30:00,1.708,false
A115,2024-06-01 05:30:00,1.375,false
A116,2024-06-01 05:30:00,13.248,true
A117,2024-06-01 05:30:00,1.377,false
A118,2024-06-01 05:30:00,1.028,false
A119,2024-06-01 05:30:00,1.182,false
A120,2024-06-01 05:30:00,2.043,false
A121,2024-06-01 05:30:00,2.455,false
A122,2024-06-01 05:30:00,2.213,false
A123,2024-06-01 05:30:00,1.427,false
A124,2024-06-01 05:30:00,2.492,false
A125,2024-06-01 05:30:00,1.908,false
A126,2024-06-01 05:30:00,1.493,false
A127,2024-06-01 05:30:00,1.512,false
A128,2024-06-01 05:30:00,1.544,false
A129,2024-06-01 05:30:00,2.539,false
A130,2024-06-01 05:30:00,2.188,false
A131,2024-06-01 05:30:00,2.638,false
A132,2024-06-01 05:30:00,2.439,false
A133,2024-06-01 05:30:00,1.793,false
A134,2024-06-01 05:30:00,1.531,false
A135,2024-06-01 05:30:00,2.078,false
A136,2024-06-01 05:30:00,2.301,false
A137,2024-06-01 05:30:00,1.044,false
A138,2024-06-01 05:30:00,2.039,false
A139,2024-06-01 05:30:00,2.566,false
A140,2024-06-01 05:30:00,1.879,false
A141,2024-06-01 05:30:00,1.12,false
A142,2024-06-01 05:30:00,2.485,false
A143,2024-06-01 05:30:00,12.903,true
A144,2024-06-01 05:30:00,1.903,false
A145,2024-06-01 05:30:00,1.164,false
A146,2024-06-01 05:30:00,1.212,false
A147,2024-06-01 05:30:00,2.2,false
A148,2024-06-01 05:30:00,1.287,false
A149,2024-06-01 05:30:00,2.163,false
A150,2024-06-01 05:30:00,1.943,false
A101,2024-06-01 06:30:00,14.409,true
A102,2024-06-01 06:30:00,1.829,false
A103,2024-06-01 06:30:00,2.167,false
A104,2024-06-01 06:30:00,1.716,false
A105,2024-06-01 06:30:00,1.33,false
A106,2024-06-01 06:30:00,2.163,false
A107,2024-06-01 06:30:00,1.52,false
A108,2024-06-01 06:30:00,2.223,false
A109,2024-06-01 06:30:00,1.755,false
A110,2024-06-01 06:30:00,1.22,false
A111,2024-06-01 06:30:00,1.211,false
A112,2024-06-01 06:30:00,2.325,false
A113,2024-06-01 06:30:00,1.156,false
A114,2024-06-01 06:30:00,1.69,false
A115,2024-06-01 06:30:00,1.73,false
A116,2024-06-01 06:30:00,2.247,false
A117,2024-06-01 06:30:00,2.228,false
A118,2024-06-01 06:30:00,1.981,false
A119,2024-06-01 06:30:00,2.154,false
A120,2024-06-01 06:30:00,2.168,false
A121,2024-06-01 06:30:00,1.781,false
A122,2024-06-01 06:30:00,1.034,false
A123,2024-06-01 06:30:00,0.999,false
A124,2024-06-01 06:30:00,2.191,false
A125,2024-06-01 06:30:00,1.55,false
A126,2024-06-01 06:30:00,0.948,false
A127,2024-06-01 06:30:00,2.571,false
A128,2024-06-01 06:30:00,1.577,false
A129,2024-06-01 06:30:00,1.966,false
A130,2024-06-01 06:30:00,2.497,false
A131,2024-06-01 06:30:00,1.968,false
A132,2024-06-01 06:30:00,1.501,false
A133,2024-06-01 06:30:00,2.25,false
A134,2024-06-01 06:30:00,2.145,false
